"search-number","evaluation","evals-requested-so-far","trust_low*","trust_high*","lie_low*","lie_high*","trust_fall_low*","trust_fall_high*","lie_fall_low*","lie_fall_high*","trust_rise_low*","trust_rise_high*","lie_rise_low*","lie_rise_high*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","488","500","0","80","0","30","0","3","0","2","0","4","0","4","""-712828262""","81.56410256410257","81.56410256410257","81.56410256410257","0","81.56410256410257"
"1","489","500","0","80","0","30","0","3","0","2","0","4","0","4","""1874221033""","32.5886524822695","32.5886524822695","32.5886524822695","0","32.5886524822695"
"1","490","500","0","80","0","30","0","3","0","2","0","4","0","4","""-1419813044""","33.208480565371026","33.208480565371026","33.208480565371026","0","33.208480565371026"
"1","491","500","0","60","0","20","0","2","0","5","0","5","0","3","""-1522334842""","85.33935018050542","85.33935018050542","85.33935018050542","0","85.33935018050542"
"1","492","500","0","60","0","20","0","2","0","5","0","5","0","3","""1762940657""","85.62897526501767","85.62897526501767","85.62897526501767","0","85.62897526501767"
"1","493","500","0","60","0","20","0","2","0","5","0","5","0","3","""679073879""","85.4820143884892","85.4820143884892","85.4820143884892","0","85.4820143884892"
"1","494","500","0","60","0","20","0","2","0","5","0","5","0","3","""1334207993""","84.90151515151516","84.90151515151516","84.90151515151516","0","84.90151515151516"
"1","495","500","0","60","0","20","0","2","0","5","0","5","0","3","""-73416030""","84.51428571428572","84.51428571428572","84.51428571428572","0","84.51428571428572"
"1","496","500","0","60","0","20","0","2","0","5","0","5","0","3","""348643380""","84.02857142857142","84.02857142857142","84.02857142857142","0","84.02857142857142"
"1","497","500","0","60","0","20","0","2","0","5","0","5","0","3","""-1173578664""","85.06093189964157","85.06093189964157","85.06093189964157","0","85.06093189964157"
"1","498","500","0","60","0","20","0","2","0","5","0","5","0","3","""805068511""","85.23247232472325","85.23247232472325","85.23247232472325","0","85.23247232472325"
"1","499","500","0","60","0","20","0","2","0","5","0","5","0","3","""1617503248""","87.0179856115108","87.0179856115108","87.0179856115108","0","87.0179856115108"
"1","500","500","0","60","0","20","0","2","0","5","0","5","0","3","""-457011718""","84.2158273381295","84.2158273381295","84.2158273381295","0","84.2158273381295"
